file_name,hu_name
IMG_20240628_140518.jpg,佛手壶
IMG_20240628_140527.jpg,风卷葵壶
IMG_20240628_140533.jpg,云龙壶
IMG_20240628_140538.jpg,云龙壶
IMG_20240628_140547.jpg,提梁壶
IMG_20240628_140556.jpg,秦权壶
IMG_20240628_140601.jpg,塔竹方壶
IMG_20240628_140609.jpg,号瓜壶
IMG_20240628_140623.jpg,合梅壶
IMG_20240628_140632.jpg,四季如意壶
IMG_20240628_140640.jpg,三叉提梁壶
IMG_20240628_140645.jpg,三足炉壶
IMG_20240628_140653.jpg,弧方壶
IMG_20240628_140700.jpg,双色木瓜壶
IMG_20240628_140710.jpg,柿圆壶
IMG_20240628_140722.jpg,四方传炉壶
IMG_20240628_140729.jpg,半月壶
IMG_20240628_140737.jpg,传炉壶
IMG_20240628_140740.jpg,水平壶
IMG_20240628_140745.jpg,牛盖壶
IMG_20240628_140750.jpg,方钟壶
IMG_20240628_140756.jpg,仿古壶
IMG_20240628_140805.jpg,扁线圆壶
IMG_20240628_140812.jpg,上合桃壶
IMG_20240628_140820.jpg,方钟壶
IMG_20240628_140826.jpg,洋桶壶
IMG_20240628_140834.jpg,汉扁壶
IMG_20240628_140845.jpg,蜂菊壶
IMG_20240628_140855.jpg,瓦当壶
IMG_20240628_140903.jpg,梅花周盘壶
IMG_20240628_140935.jpg,直嘴龙蛋壶
IMG_20240628_140939.jpg,龙嘴辫钮鼓形紫砂壶
IMG_20240628_140954.jpg,万寿香妃竹方壶
IMG_20240628_141001.jpg,白泥堆绘高灯笼壶
IMG_20240628_141006.jpg,紫泥橄榄形大壶（美人肩壶）
IMG_20240628_141020.jpg,点彩壶
IMG_20240628_141029.jpg,贴花壶
IMG_20240628_141035.jpg,八方狮纽龙把壶
IMG_20240628_141040.jpg,贴花方壶
IMG_20240628_141045.jpg,兽钮壶
IMG_20240628_141049.jpg,多穆壶（僧帽壶）
IMG_20240628_141054.jpg,童子执莲纹高升壶
IMG_20240628_141109.jpg,四方祥狮壶
IMG_20240628_141114.jpg,绘彩釉灯笼壶
IMG_20240628_141122.jpg,竹节捆壶
IMG_20240628_141130.jpg,宫灯壶
IMG_20240628_141136.jpg,汤婆壶
IMG_20240628_141137.jpg,汤婆壶
IMG_20240628_141154.jpg,大彬式大竹提梁壶
IMG_20240628_141205.jpg,螨龙钮紫泥四方大壶
IMG_20240628_141249.jpg,汉君壶
IMG_20240628_141254.jpg,摄只壶
IMG_20240628_141259.jpg,蛋包壶
IMG_20240628_141306.jpg,乳顶壶
IMG_20240628_141313.jpg,摄球壶
IMG_20240628_141318.jpg,瓦当壶
IMG_20240628_141324.jpg,印包壶
IMG_20240628_141329.jpg,水磨提梁壶
IMG_20240628_141333.jpg,折肩抛光提梁壶
IMG_20240628_141338.jpg,水磨提梁壶
IMG_20240628_141341.jpg,钟式壶
IMG_20240628_141352.jpg,莲子壶
IMG_20240628_141358.jpg,捆竹壶
IMG_20240628_141401.jpg,竹段壶
IMG_20240628_141410.jpg,点彩提梁壶
IMG_20240628_141415.jpg,福寿壶
IMG_20240628_141422.jpg,福禄寿壶
IMG_20240628_141431.jpg,菊瓣壶
IMG_20240628_141437.jpg,方竹壶
IMG_20240628_141441.jpg,钵孟提梁壶
IMG_20240628_141451.jpg,军壶
IMG_20240628_141458.jpg,直嘴梨形壶
IMG_20240628_141502.jpg,水平壶
IMG_20240628_141508.jpg,朱泥小圆壶
IMG_20240628_141513.jpg,竹节提梁壶
IMG_20240628_141518.jpg,紫砂内胆锡包壶
IMG_20240628_141526.jpg,朱泥水平壶
IMG_20240628_141532.jpg,点彩百果壶
IMG_20240628_141539.jpg,墨绘仿古水扁壶
IMG_20240628_141545.jpg,墨绘百果壶
IMG_20240628_141553.jpg,莲子壶
IMG_20240628_141558.jpg,玉扁壶
IMG_20240628_141602.jpg,砖方壶
IMG_20240628_141607.jpg,乳鼎壶
